rute_100m sum
22567006652400 9
22567006652500 69
22567006652600 49
22567006652700 41
22567006652800 42
22567006652900 36
22567006653000 36
22567006653100 65
22567006653200 43
22567006653300 95
22567006653400 61
22567006653600 187
22567006653700 22
22567006653800 28
22567006653900 38
22567006654000 50
22567006654100 48
22567006654200 32
22567006654300 25
22567006654400 30
22567006654500 61
22567006654600 13
22567006654700 39
22567006654800 26
22567006654900 15
22567006655000 13
22567006655400 27
22568006649900 9
22568006650000 11
22568006650100 31
22568006650200 58
22568006650300 38
22568006650400 53
22568006650500 19
22568006650600 52
22568006650700 22
22568006650800 25
22568006650900 39
22568006651000 23
22568006651200 40
22568006651300 29
22568006651400 136
22568006651500 25
22568006651600 12
22568006651700 20
22568006651800 18
22568006651900 12
22568006652000 50
22568006652100 18
22568006652200 47
22568006652300 54
22568006652400 14
22568006652500 43
22568006652600 24
22568006652700 67
22568006652800 66
22568006652900 31
22568006653000 92
22568006653100 122
22568006653200 45
22568006653300 18
22568006653400 22
22568006653500 26
22568006653600 26
22568006653700 75
22568006653800 40
22568006653900 54
22568006654000 37
22568006654100 52
22568006654200 44
22568006654300 32
22568006654400 45
22568006654500 21
22568006654600 11
22568006655600 60
22568006655700 90
22568006655800 165
22568006655900 94
22568006656000 211
22568006656100 113
22569006650000 16
22569006650100 38
22569006650200 40
22569006650300 71
22569006650400 28
22569006650500 24
22569006650600 16
22569006650700 75
22569006650800 29
22569006650900 15
22569006651200 23
22569006651300 76
22569006651400 74
22569006651500 129
22569006651600 13
22569006651700 7
22569006651800 30
22569006651900 6
22569006652000 18
22569006652100 22
22569006652200 6
22569006652300 87
22569006652400 46
22569006652500 7
22569006652600 70
22569006652700 57
22569006652800 82
22569006652900 84
22569006653000 78
22569006653100 32
22569006653200 32
22569006653300 36
22569006653400 48
22569006653500 93
22569006653600 22
22569006653700 35
22569006653800 47
22569006653900 55
22569006654000 41
22569006654100 33
22569006654200 15
22569006654300 15
22569006655100 14
22569006655200 8
22569006655300 74
22569006655400 180
22569006655500 78
22569006655600 132
22569006655700 167
22569006656100 67
22569006656200 25
22569006656300 49
22569006661000 9
22570006650100 46
22570006650200 49
22570006650300 33
22570006650400 68
22570006650500 33
22570006650600 19
22570006650700 46
22570006650800 50
22570006650900 26
22570006651300 28
22570006651400 69
22570006651500 93
22570006651600 21
22570006651700 25
22570006651800 22
22570006651900 13
22570006652000 11
22570006652100 40
22570006652200 50
22570006652400 88
22570006652700 150
22570006652800 144
22570006653000 38
22570006653100 29
22570006653200 21
22570006653300 32
22570006653400 14
22570006653500 32
22570006653700 5
22570006653800 22
22570006655000 23
22570006655100 32
22570006655200 17
22570006655300 14
22570006655400 34
22570006655600 64
22570006655700 58
22570006656000 77
22570006656100 88
22570006656200 89
22570006656300 30
22570006656400 90
22570006656600 126
22570006656700 141
22570006656800 60
22571006650100 16
22571006650200 51
22571006650300 40
22571006650400 48
22571006650500 74
22571006650600 27
22571006650700 52
22571006650800 48
22571006651200 8
22571006651300 39
22571006651400 69
22571006651500 38
22571006651600 103
22571006651700 44
22571006651800 12
22571006651900 30
22571006652000 18
22571006652100 20
22571006652200 79
22571006652300 102
22571006652400 236
22571006652700 21
22571006653400 18
22571006653500 147
22571006653600 274
22571006653700 155
22571006653800 61
22571006653900 57
22571006654000 187
22571006654100 122
22571006654200 77
22571006654800 7
22571006654900 21
22571006655000 33
22571006655100 18
22571006655200 20
22571006655300 31
22571006655400 15
22571006655500 11
22571006655600 47
22571006655700 40
22571006655800 73
22571006655900 99
22571006656000 56
22571006656100 43
22571006656200 32
22571006656300 17
22571006656400 22
22571006656500 24
22571006656700 45
22571006656800 102
22572006650100 9
22572006650200 50
22572006650300 40
22572006650400 50
22572006650500 67
22572006650600 47
22572006650700 58
22572006650800 47
22572006650900 47
22572006651000 10
22572006651200 56
22572006651300 37
22572006651400 144
22572006651500 100
22572006651600 46
22572006651700 135
22572006651800 26
22572006651900 30
22572006652000 46
22572006652100 15
22572006652200 105
22572006652300 116
22572006653400 18
22572006653500 32
22572006653700 246
22572006653800 63
22572006654000 146
22572006654100 217
22572006654500 8
22572006654600 9
22572006654700 27
22572006654800 29
22572006654900 28
22572006655000 24
22572006655100 11
22572006655200 24
22572006655300 12
22572006655400 38
22572006655500 33
22572006655600 20
22572006655700 44
22572006655800 36
22572006655900 42
22572006656000 11
22572006656100 31
22572006656200 13
22572006656300 15
22572006656400 26
22572006656500 20
22572006656600 27
22572006656700 29
22572006656800 18
22572006656900 19
22573006649200 13
22573006650200 36
22573006650300 103
22573006650400 60
22573006650500 66
22573006650600 60
22573006650700 115
22573006650800 8
22573006650900 14
22573006651000 42
22573006651100 24
22573006651200 36
22573006651300 53
22573006651400 25
22573006651500 92
22573006651600 204
22573006651700 25
22573006651800 142
22573006651900 90
22573006652000 71
22573006652100 36
22573006653400 170
22573006653500 104
22573006653600 38
22573006653800 283
22573006653900 270
22573006654000 182
22573006654100 108
22573006654200 16
22573006654500 100
22573006654600 32
22573006654700 23
22573006654800 32
22573006654900 21
22573006655000 32
22573006655100 24
